Wahlart,Wahltag,Gebietsart,Gebietsnummer,Gebietsname,UegGebietsart,UegGebietsnummer,Gruppenart,Gruppenname,Gruppenreihenfolge,Stimme,Anzahl,Prozent,VorpAnzahl,VorpProzent,DiffProzent,DiffProzentPkt,Bemerkung,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,BüSo,23,2,665,0,1436,6693,0,14389,-90,64246,0,12952,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Die Humanisten,24,1,12672,0,27417,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Die Humanisten,24,2,47524,0,102647,5991,0,1288,693,256551,0,89768,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Gartenpartei,25,1,2095,0,4533,2570,0,554,-18,48249,0,1007,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Gartenpartei,25,2,7611,0,16439,5617,0,12076,35,499377,0,4363,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,du.,26,1,1890,0,4089,772,0,1664,144,818653,0,2425,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,du.,26,2,17738,0,38312,3032,0,6518,485,26385,0,31794,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,SGP,27,1,,,903,0,1947,,0,1947,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,SGP,27,2,1399,0,3022,1291,0,2775,8,365608,0,246,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,dieBasis,28,1,732620,1,58511,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,dieBasis,28,2,630153,1,361069,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Bündnis C,29,1,6222,0,13462,1717,0,3701,262,376238,0,9761,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Bündnis C,29,2,39868,0,86111,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,BÜRGERBEWEGUNG,30,1,1556,0,3367,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,BÜRGERBEWEGUNG,30,2,7491,0,1618,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,III. Weg,31,1,515,0,1114,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,III. Weg,31,2,7832,0,16916,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,BÜNDNIS21,32,1,372,0,805,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,BÜNDNIS21,32,2,3488,0,7534,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,LIEBE,33,1,873,0,1889,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,LIEBE,33,2,12967,0,28007,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Wir Bürger (2021: LKR),34,1,11005,0,23811,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Wir Bürger (2021: LKR),34,2,11328,0,24467,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,PdF,35,1,,,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,PdF,35,2,3228,0,6972,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,LfK,36,1,,,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,LfK,36,2,9189,0,19847,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,SSW,37,1,35027,0,75785,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,SSW,37,2,55578,0,120043,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Team Todenhöfer,38,1,5422,0,11731,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Team Todenhöfer,38,2,211854,0,457584,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,UNABHÄNGIGE,39,1,13421,0,29038,2458,0,5299,446,13019,0,23739,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,UNABHÄNGIGE,39,2,22736,0,49108,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Volt,40,1,77594,0,167884,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Volt,40,2,164300,0,354872,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Volksabstimmung,41,1,1086,0,235,6316,0,13615,-82,805573,0,11265,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Volksabstimmung,41,2,,,9631,0,20705,,0,20705,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,B*,42,1,192,0,415,672,0,1449,-71,428571,0,1033,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,B*,42,2,,,911,0,1958,,0,1958,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,sonstige,43,1,251,0,543,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,sonstige,43,2,,,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,FAMILIE,44,1,1817,0,3931,506,0,1091,259,90909,0,2841,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,FAMILIE,44,2,,,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Graue Panther,45,1,961,0,2079,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Graue Panther,45,2,,,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,KlimalisteBW,46,1,3967,0,8583,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,KlimalisteBW,46,2,,,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,THP,47,1,549,0,1188,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,THP,47,2,,,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Einzelbewerber/Wählergruppe,Einzelbewerber/Wählergruppe,48,1,110874,0,239889,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,System-Gruppe,Übrige,1000,1,,,107495,0,231722,,0,231722,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,System-Gruppe,Übrige,1000,2,,,204580,0,43981,,0,43981,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,System-Gruppe,Wahlberechtigte,-4,,2272717,,2266012,,0,295894,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,System-Gruppe,Wählende,-3,,1776145,78,150733,1729194,76,310011,2,715196,1,840723,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,System-Gruppe,Ungültige,-2,1,16132,0,908259,16172,0,935233,0,247341,0,26974,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,System-Gruppe,Ungültige,-2,2,13391,0,753936,13553,0,783776,-1,195307,0,29839,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,System-Gruppe,Gültige,-1,1,1760013,99,91741,1713022,99,64767,2,743164,0,26974,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,System-Gruppe,Gültige,-1,2,1762754,99,246064,1715641,99,216224,2,746087,0,29839,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,CDU,1,1,465975,26,475657,682287,39,829436,-31,70396,-13,353779,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,CDU,1,2,388399,22,33647,583135,33,989337,-33,394668,-11,95569,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,SPD,2,1,530301,30,130516,493279,28,795836,7,505286,1,33468,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,SPD,2,2,494055,28,2745,399505,23,286049,23,666788,4,741401,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,FDP,3,1,167191,9,499418,131703,7,688343,26,945476,1,811076,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,FDP,3,2,220039,12,482683,216844,12,639241,1,473409,0,156558,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,GRÜNE,4,1,315633,17,933561,163580,9,549206,92,953295,8,384355,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,GRÜNE,4,2,322763,18,310156,205471,11,97634,57,84455,6,333816,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,AfD,5,1,113641,6,456827,128641,7,509594,-11,660357,-1,52767,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,AfD,5,2,119566,6,782909,140362,8,181315,-14,815976,-1,398406,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,DIE LINKE,6,1,55523,3,154693,90574,5,287381,-38,698744,-2,132688,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,DIE LINKE,6,2,64238,3,644184,124678,7,267138,-48,476876,-3,622954,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Die PARTEI,7,1,18090,1,27833,4017,0,234498,350,336072,0,793335,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Die PARTEI,7,2,17870,1,13755,20732,1,208411,-13,804746,0,194657,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,FREIE WÄHLER,8,1,26518,1,506693,15957,0,931512,66,18412,0,575182,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,FREIE WÄHLER,8,2,17043,0,966839,11095,0,646697,53,609734,0,320142,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,HEIMAT (2021: NPD),9,1,,,,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,HEIMAT (2021: NPD),9,2,2034,0,115388,4210,0,245389,-51,686461,0,130002,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,ÖDP,10,1,,,,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,ÖDP,10,2,1539,0,87307,3116,0,181623,-50,609756,0,94317,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,MLPD,11,1,265,0,15057,1381,0,80618,-80,811007,0,65561,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,MLPD,11,2,322,0,18267,823,0,4797,-60,874848,0,29704,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,dieBasis,12,1,27124,1,541125,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,dieBasis,12,2,23407,1,327865,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,DKP,13,1,326,0,18523,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,DKP,13,2,516,0,29272,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,du.,14,1,727,0,41307,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,du.,14,2,1029,0,58375,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Wir Bürger (2021: LKR),15,1,1051,0,59715,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Wir Bürger (2021: LKR),15,2,715,0,40562,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Die Humanisten,16,1,,,,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Die Humanisten,16,2,1763,0,100014,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Tierschutzpartei,17,1,,,,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Tierschutzpartei,17,2,20653,1,171633,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,SSW,18,1,35027,1,990156,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,SSW,18,2,55578,3,152907,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Team Todenhöfer,19,1,,,,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Team Todenhöfer,19,2,5305,0,30095,,,,,,,,
BT,26.09.2021,Land,1,Schleswig-Holstein,BUND,99,Partei,Volt,20,1,1431,0,81306,,,,,,,,
